country,year,life_expectancy,adult_mortality,infant_deaths,alcohol,percentage_expenditure,hepatitis_b_vaccination,measles,overweight_prevalence,polio_vaccination,total_expenditure,diphtheria_vaccination,hiv_aids,gdp,thinness_5_9_years,income_composition_of_resources,schooling,is_developed
Afghanistan,2015,65.0,5.575949103146316,4.143134726391533,0.01,71.27962362,65.0,1154,19.1,6.0,8.16,65.0,0.09531017980432487,6.372054843111785,17.3,0.479,10.1,0
Afghanistan,2014,59.9,5.605802066295998,4.174387269895637,0.01,73.52358168,62.0,492,18.6,58.0,8.18,62.0,0.09531017980432487,6.419500529079097,17.5,0.476,10.0,0
Afghanistan,2013,59.9,5.594711379601839,4.204692619390966,0.01,73.21924272,64.0,430,18.1,62.0,8.13,64.0,0.09531017980432487,6.450067459449026,17.7,0.47,9.9,0
Afghanistan,2012,59.5,5.60947179518496,4.248495242049359,0.01,78.1842153,67.0,2787,17.6,67.0,8.52,67.0,0.09531017980432487,6.508708032273233,18.0,0.463,9.8,0
Afghanistan,2011,59.2,5.62040086571715,4.276666119016055,0.01,7.097108703,68.0,3013,17.2,68.0,7.87,68.0,0.09531017980432487,4.16724228207777,18.2,0.454,9.5,0
Afghanistan,2010,58.8,5.634789603169249,4.31748811353631,0.01,79.67936736,66.0,1989,16.7,66.0,9.2,66.0,0.09531017980432487,6.317758265057453,18.4,0.448,9.2,0
Afghanistan,2009,58.6,5.641907070938114,4.356708826689592,0.01,56.76221682,63.0,2861,16.2,63.0,9.42,63.0,0.09531017980432487,6.1023198589596435,18.7,0.434,8.9,0
Afghanistan,2008,58.1,5.662960480135946,4.394449154672439,0.03,25.87392536,64.0,1599,15.7,64.0,8.33,64.0,0.09531017980432487,5.925220883173701,18.9,0.433,8.7,0
Afghanistan,2007,57.5,5.69035945432406,4.418840607796598,0.02,10.91015598,63.0,1141,15.2,63.0,6.73,63.0,0.09531017980432487,5.9157593662491115,19.1,0.415,8.4,0
Afghanistan,2006,57.3,5.69035945432406,4.442651256490317,0.03,17.17151751,64.0,1990,14.7,58.0,7.43,58.0,0.09531017980432487,5.611534757389504,19.3,0.405,8.1,0
Afghanistan,2005,57.3,5.676753802268282,4.454347296253507,0.02,1.388647732,66.0,1296,14.2,58.0,8.7,58.0,0.09531017980432487,3.26934571655277,19.5,0.396,7.9,0
Afghanistan,2004,57.0,5.683579767338681,4.477336814478207,0.02,15.29606643,67.0,466,13.8,5.0,8.79,5.0,0.09531017980432487,5.394269852756704,19.7,0.381,6.8,0
Afghanistan,2003,56.7,5.69035945432406,4.477336814478207,0.01,11.08905273,65.0,798,13.4,41.0,8.82,41.0,0.09531017980432487,5.296959162606505,19.9,0.373,6.5,0
Afghanistan,2002,56.2,5.725217755376266,4.48863636973214,0.01,16.88735091,64.0,2486,13.0,36.0,7.76,36.0,0.09531017980432487,5.240931603336766,11.149999999999999,0.341,6.2,0
Afghanistan,2001,55.3,5.75890177387728,4.48863636973214,0.01,10.5747282,63.0,8762,12.6,35.0,7.8,33.0,0.09531017980432487,4.774887475018364,2.4,0.34,5.9,0
Afghanistan,2000,54.8,5.7745515455444085,4.48863636973214,0.01,10.42496,62.0,6532,12.2,24.0,8.2,24.0,0.09531017980432487,4.749789875598035,2.5,0.338,5.5,0
Albania,2015,77.8,4.31748811353631,0.0,4.6,364.9752287,99.0,0,58.0,99.0,6.0,99.0,0.09531017980432487,8.282793484105197,1.3,0.762,14.2,0
Albania,2014,77.5,2.1972245773362196,0.0,4.51,428.7490668,98.0,0,57.2,98.0,5.88,98.0,0.09531017980432487,8.428747430626215,1.3,0.761,14.2,0
Albania,2013,77.2,4.442651256490317,0.0,4.76,430.8769785,99.0,0,56.5,99.0,5.66,99.0,0.09531017980432487,8.392926891245157,1.4,0.759,14.2,0
Albania,2012,76.9,4.465908118654584,0.0,5.14,412.4433563,99.0,9,55.8,99.0,5.59,99.0,0.09531017980432487,8.35434818052441,1.4,0.752,14.2,0
Albania,2011,76.6,4.48863636973214,0.0,5.37,437.0621,99.0,28,55.1,99.0,5.71,99.0,0.09531017980432487,8.397999364061072,1.5,0.738,13.3,0
Albania,2010,76.2,4.5217885770490405,0.6931471805599453,5.28,41.82275719,99.0,10,54.3,99.0,5.34,99.0,0.09531017980432487,6.2052824130773905,1.5,0.725,12.5,0
