Metric,Value,model_name
MSE,11.9447,Ridge
RMSE,3.4561,Ridge
MAE,2.5762,Ridge
MAPE [%],3.8819,Ridge
RMSPE [%],5.5234,Ridge
R²,0.8619,Ridge
Pearson correlation,0.9286,Ridge
MSE,15.742,Lasso
RMSE,3.9676,Lasso
MAE,3.0069,Lasso
MAPE [%],4.5497,Lasso
RMSPE [%],6.3412,Lasso
R²,0.818,Lasso
Pearson correlation,0.9066,Lasso
MSE,2.6784,RandomForest
RMSE,1.6366,RandomForest
MAE,1.0374,RandomForest
MAPE [%],1.5683,RandomForest
RMSPE [%],2.561,RandomForest
R²,0.969,RandomForest
Pearson correlation,0.9845,RandomForest
MSE,2.8477,XGBoost
RMSE,1.6875,XGBoost
MAE,1.103,XGBoost
MAPE [%],1.6519,XGBoost
RMSPE [%],2.5855,XGBoost
R²,0.9671,XGBoost
Pearson correlation,0.9835,XGBoost
MSE,4.4141,GBR
RMSE,2.101,GBR
MAE,1.4693,GBR
MAPE [%],2.1793,GBR
RMSPE [%],3.1841,GBR
R²,0.949,GBR
Pearson correlation,0.9742,GBR
