,Metric,Value,model_name
0,MSE,11.0984,Ridge
1,RMSE,3.3314,Ridge
2,MAE,2.4219,Ridge
3,MAPE [%],3.5104,Ridge
4,RMSPE [%],5.1112,Ridge
5,R²,0.8407,Ridge
6,Pearson correlation,0.9173,Ridge
7,MSE,16.351,Lasso
8,RMSE,4.0436,Lasso
9,MAE,3.0175,Lasso
10,MAPE [%],4.3529,Lasso
11,RMSPE [%],6.0527,Lasso
12,R²,0.7653,Lasso
13,Pearson correlation,0.8779,Lasso
14,MSE,5.0114,RandomForest
15,RMSE,2.2386,RandomForest
16,MAE,1.4739,RandomForest
17,MAPE [%],2.1223,RandomForest
18,RMSPE [%],3.3451,RandomForest
19,R²,0.9281,RandomForest
20,Pearson correlation,0.9635,RandomForest
21,MSE,5.4563,XGBoost
22,RMSE,2.3359,XGBoost
23,MAE,1.5605,XGBoost
24,MAPE [%],2.2579,XGBoost
25,RMSPE [%],3.5213,XGBoost
26,R²,0.9217,XGBoost
27,Pearson correlation,0.9601,XGBoost
28,MSE,6.4443,GBR
29,RMSE,2.5386,GBR
30,MAE,1.7925,GBR
31,MAPE [%],2.5598,GBR
32,RMSPE [%],3.7498,GBR
33,R²,0.9075,GBR
34,Pearson correlation,0.9537,GBR
